101250, 1, opencl, intel, single, 2, 33.6600
101250, 1, opencl, intel, single, 4, 23.1900
101250, 1, opencl, intel, single, 8, 25.7000
101250, 1, opencl, intel, single, 16, 27.4200
198450, 1, opencl, intel, single, 2, 63.3800
198450, 1, opencl, intel, single, 4, 43.1100
198450, 1, opencl, intel, single, 8, 47.7800
198450, 1, opencl, intel, single, 16, 50.6900
299538, 1, opencl, intel, single, 2, 94.4100
299538, 1, opencl, intel, single, 4, 63.3800
299538, 1, opencl, intel, single, 8, 70.9500
299538, 1, opencl, intel, single, 16, 74.0200
399618, 1, opencl, intel, single, 2, 126.2000
399618, 1, opencl, intel, single, 4, 84.0300
399618, 1, opencl, intel, single, 8, 93.1800
399618, 1, opencl, intel, single, 16, 3.2600
496008, 1, opencl, intel, single, 2, 154.8200
496008, 1, opencl, intel, single, 4, 103.6800
496008, 1, opencl, intel, single, 8, 115.1200
496008, 1, opencl, intel, single, 16, 120.1700
602802, 1, opencl, intel, single, 2, 194.9300
602802, 1, opencl, intel, single, 4, 124.5400
602802, 1, opencl, intel, single, 8, 139.5400
602802, 1, opencl, intel, single, 16, 4.3000
698562, 1, opencl, intel, single, 2, 216.3900
698562, 1, opencl, intel, single, 4, 145.0900
698562, 1, opencl, intel, single, 8, 162.1900
698562, 1, opencl, intel, single, 16, 5.3200
801378, 1, opencl, intel, single, 2, 245.6200
801378, 1, opencl, intel, single, 4, 166.7000
801378, 1, opencl, intel, single, 8, 183.6500
801378, 1, opencl, intel, single, 16, 192.0600
903168, 1, opencl, intel, single, 2, 278.6400
903168, 1, opencl, intel, single, 4, 186.7000
903168, 1, opencl, intel, single, 8, 207.3400
903168, 1, opencl, intel, single, 16, 215.7300
1002528, 1, opencl, intel, single, 2, 305.9200
1002528, 1, opencl, intel, single, 4, 206.5900
1002528, 1, opencl, intel, single, 8, 229.3600
1002528, 1, opencl, intel, single, 16, 8.7600
101250, 2, opencl, intel, single, 2, 33.6400
101250, 2, opencl, intel, single, 4, 23.0100
101250, 2, opencl, intel, single, 8, 25.6000
101250, 2, opencl, intel, single, 16, 2.3200
198450, 2, opencl, intel, single, 2, 63.6300
198450, 2, opencl, intel, single, 4, 43.1200
198450, 2, opencl, intel, single, 8, 47.9100
198450, 2, opencl, intel, single, 16, 50.5400
299538, 2, opencl, intel, single, 2, 94.5300
299538, 2, opencl, intel, single, 4, 63.2600
299538, 2, opencl, intel, single, 8, 70.4000
299538, 2, opencl, intel, single, 16, 73.6600
399618, 2, opencl, intel, single, 2, 124.8700
399618, 2, opencl, intel, single, 4, 83.7500
399618, 2, opencl, intel, single, 8, 92.6200
399618, 2, opencl, intel, single, 16, 3.6700
496008, 2, opencl, intel, single, 2, 154.5600
496008, 2, opencl, intel, single, 4, 103.8200
496008, 2, opencl, intel, single, 8, 124.0000
496008, 2, opencl, intel, single, 16, 120.8700
602802, 2, opencl, intel, single, 2, 187.2500
602802, 2, opencl, intel, single, 4, 125.7900
602802, 2, opencl, intel, single, 8, 140.1900
602802, 2, opencl, intel, single, 16, 4.2700
698562, 2, opencl, intel, single, 2, 216.6900
698562, 2, opencl, intel, single, 4, 145.9700
698562, 2, opencl, intel, single, 8, 163.2100
698562, 2, opencl, intel, single, 16, 5.3500
801378, 2, opencl, intel, single, 2, 244.1000
801378, 2, opencl, intel, single, 4, 166.8100
801378, 2, opencl, intel, single, 8, 184.9000
801378, 2, opencl, intel, single, 16, 191.4900
903168, 2, opencl, intel, single, 2, 276.7700
903168, 2, opencl, intel, single, 4, 186.5700
903168, 2, opencl, intel, single, 8, 207.9200
903168, 2, opencl, intel, single, 16, 216.3500
1002528, 2, opencl, intel, single, 2, 304.6800
1002528, 2, opencl, intel, single, 4, 206.6700
1002528, 2, opencl, intel, single, 8, 229.8900
1002528, 2, opencl, intel, single, 16, 238.2100
101250, 3, opencl, intel, single, 2, 33.8300
101250, 3, opencl, intel, single, 4, 23.1500
101250, 3, opencl, intel, single, 8, 25.6500
101250, 3, opencl, intel, single, 16, 2.4400
198450, 3, opencl, intel, single, 2, 63.3800
198450, 3, opencl, intel, single, 4, 43.2400
198450, 3, opencl, intel, single, 8, 47.8600
198450, 3, opencl, intel, single, 16, 50.3300
299538, 3, opencl, intel, single, 2, 94.4100
299538, 3, opencl, intel, single, 4, 63.3700
299538, 3, opencl, intel, single, 8, 70.3300
299538, 3, opencl, intel, single, 16, 76.6600
399618, 3, opencl, intel, single, 2, 129.5100
399618, 3, opencl, intel, single, 4, 83.6300
399618, 3, opencl, intel, single, 8, 93.5200
399618, 3, opencl, intel, single, 16, 3.5600
496008, 3, opencl, intel, single, 2, 154.9300
496008, 3, opencl, intel, single, 4, 103.7600
496008, 3, opencl, intel, single, 8, 115.8600
496008, 3, opencl, intel, single, 16, 121.1000
602802, 3, opencl, intel, single, 2, 189.5500
602802, 3, opencl, intel, single, 4, 125.3300
602802, 3, opencl, intel, single, 8, 140.1100
602802, 3, opencl, intel, single, 16, 4.4200
698562, 3, opencl, intel, single, 2, 217.2700
698562, 3, opencl, intel, single, 4, 145.9000
698562, 3, opencl, intel, single, 8, 163.2400
698562, 3, opencl, intel, single, 16, 4.4700
801378, 3, opencl, intel, single, 2, 244.3300
801378, 3, opencl, intel, single, 4, 166.8000
801378, 3, opencl, intel, single, 8, 183.7400
801378, 3, opencl, intel, single, 16, 191.0500
903168, 3, opencl, intel, single, 2, 276.8900
903168, 3, opencl, intel, single, 4, 186.6700
903168, 3, opencl, intel, single, 8, 207.7600
903168, 3, opencl, intel, single, 16, 216.7100
1002528, 3, opencl, intel, single, 2, 305.7600
1002528, 3, opencl, intel, single, 4, 207.2700
1002528, 3, opencl, intel, single, 8, 230.2000
1002528, 3, opencl, intel, single, 16, 240.0800
